model,fraud_precision,fraud_recall,fraud_f1_score,roc_auc,pr_auc,false_positives,false_negatives,true_frauds_detected
XGBoost,0.9156626506024096,0.7755102040816326,0.8397790055248618,0.9485374341070136,0.8349532650688779,7,22,76
Random Forest,0.9594594594594594,0.7244897959183674,0.8255813953488372,0.9529549738437864,0.861589887457318,3,27,71
Logistic Regression,0.05552089831565814,0.9081632653061225,0.10464432686654909,0.973732618750933,0.7222137298236726,1514,9,89
