threshold,precision,recall,f1_score,false_positives,false_negatives,true_frauds_detected
0.1,0.1765873015873016,0.9081632653061225,0.2956810631229236,415,9,89
0.2,0.29692832764505117,0.8877551020408163,0.44501278772378516,206,11,87
0.3,0.424390243902439,0.8877551020408163,0.5742574257425742,118,11,87
0.4,0.5272727272727272,0.8877551020408163,0.6615969581749049,78,11,87
0.5,0.5838926174496645,0.8877551020408163,0.7044534412955465,62,11,87
